release_reference_id,release_project_reference,datacenter_reference,tag_device_id,release_reference_type,latitude,longitude,time,expected_enddate,manufacturer,tag_model,tag_serial_number,tag_coding_system,transmitted_id
,,,,,degrees_north,degrees_east,UTC,UTC,,,,,
MACFL-15329,MACFL,nep,A69-1303-30703,ANIMAL,38.581239,-121.507286,2008-12-03T22:00:00Z,2009-02-11T22:00:00Z,VEMCO,V7,1062436,A69-1303,30703
MACFL-15330,MACFL,nep,A69-1303-30704,ANIMAL,38.581239,-121.507286,2008-12-03T22:00:00Z,2009-02-11T22:00:00Z,VEMCO,V7,1062437,A69-1303,30704
MACFL-15331,MACFL,nep,A69-1303-30711,ANIMAL,38.581239,-121.507286,2008-12-03T23:02:00Z,2009-02-11T23:02:00Z,VEMCO,V7,1062444,A69-1303,30711
MACFL-15332,MACFL,nep,A69-1303-30705,ANIMAL,38.581239,-121.507286,2008-12-03T23:02:00Z,2009-02-11T23:02:00Z,VEMCO,V7,1062438,A69-1303,30705
MACFL-15333,MACFL,nep,A69-1303-30709,ANIMAL,38.581239,-121.507286,2008-12-03T23:02:00Z,2009-02-11T23:02:00Z,VEMCO,V7,1062442,A69-1303,30709
MACFL-15334,MACFL,nep,A69-1303-30710,ANIMAL,38.581239,-121.507286,2008-12-03T23:02:00Z,2009-02-11T23:02:00Z,VEMCO,V7,1062443,A69-1303,30710
MACFL-15335,MACFL,nep,A69-1303-30715,ANIMAL,38.581239,-121.507286,2008-12-04T00:02:00Z,2009-02-12T00:02:00Z,VEMCO,V7,1062448,A69-1303,30715
MACFL-15336,MACFL,nep,A69-1303-30714,ANIMAL,38.581239,-121.507286,2008-12-04T00:02:00Z,2009-02-12T00:02:00Z,VEMCO,V7,1062447,A69-1303,30714
MACFL-15337,MACFL,nep,A69-1303-30712,ANIMAL,38.581239,-121.507286,2008-12-04T00:02:00Z,2009-02-12T00:02:00Z,VEMCO,V7,1062445,A69-1303,30712
MACFL-15338,MACFL,nep,A69-1303-30713,ANIMAL,38.581239,-121.507286,2008-12-04T00:02:00Z,2009-02-12T00:02:00Z,VEMCO,V7,1062446,A69-1303,30713
MACFL-15339,MACFL,nep,A69-1303-30720,ANIMAL,38.581239,-121.507286,2008-12-04T01:03:00Z,2009-02-12T01:03:00Z,VEMCO,V7,1062453,A69-1303,30720
MACFL-15340,MACFL,nep,A69-1303-30716,ANIMAL,38.581239,-121.507286,2008-12-04T01:03:00Z,2009-02-12T01:03:00Z,VEMCO,V7,1062449,A69-1303,30716
MACFL-15341,MACFL,nep,A69-1303-30717,ANIMAL,38.581239,-121.507286,2008-12-04T01:03:00Z,2009-02-12T01:03:00Z,VEMCO,V7,1062450,A69-1303,30717
MACFL-15342,MACFL,nep,A69-1303-30718,ANIMAL,38.581239,-121.507286,2008-12-04T01:03:00Z,2009-02-12T01:03:00Z,VEMCO,V7,1062451,A69-1303,30718
